year,data_type,POP,RY,D_GDP,P,PartRate,ADD_LFPR,U_rate,W,LS,E,E_RY,E_est,U
1995,actual,105556,475325.44802867377,1.1159999999999999,0.9590000000000001,0.6315131304710296,0,0.03135313531353135,0.9329371817000001,66660,64570,0.135843768238777,64570,2090
1996,actual,106173,489890.4932735426,1.115,0.96,0.6320816026673448,0,0.03352704514975414,0.9423240034,67110,64860,0.13239693541834827,64860,2250
1997,actual,106791,496515.9498207886,1.1159999999999999,0.977,0.6355404481651076,0,0.03388831589804037,0.9707652623,67870,65570,0.1320602087881904,65570,2300
1998,actual,107413,487705.56552962295,1.114,0.983,0.632418794745515,0,0.041071691447077875,0.9686956522,67930,65140,0.1335641924226584,65140,2790
1999,actual,107925,485993.72156505904,1.099,0.98,0.6281213805883715,0,0.046762059300781825,0.964819701,67790,64620,0.13296468067921213,64620,3170
2000,actual,108454,500363.5359116023,1.0859999999999999,0.973,0.6238589632470909,0,0.04729530002955956,0.9589519651,67660,64460,0.12882633400246007,64460,3200
2001,actual,109033,501806.1395348837,1.075,0.9670000000000001,0.6192620582759348,0,0.050355450236966824,0.9541041482999999,67520,64120,0.127778428656596,64120,3400
2002,actual,109384,502255.47169811325,1.06,0.958,0.611515395304615,0,0.05367020481387352,0.9349376114000001,66890,63300,0.12603147913149512,63300,3590
2003,actual,109789,509329.2987512008,1.041,0.955,0.607164652196486,0,0.052505250525052505,0.9278074866,66660,63160,0.12400621789254784,63160,3500
2004,actual,110053,520072.08171206224,1.028,0.955,0.6035273913478052,0,0.04712436013249021,0.9217081851000001,66420,63290,0.1216946693074759,63290,3130
2005,actual,110247,529443.5467980296,1.015,0.9520000000000001,0.6032817219516178,0,0.044354232446248684,0.9337511191,66510,63560,0.12005057080098223,63560,2950
2006,actual,110466,537876.6169154228,1.005,0.955,0.6032625423207141,0,0.041266506602641057,0.931372549,66640,63890,0.1187818878730812,63890,2750
2007,actual,110740,547307.6381909547,0.995,0.955,0.603575943651797,0,0.038450029922202276,0.9290843806,66840,64270,0.11742938617198014,64270,2570
2008,actual,110908,540928.3975659229,0.986,0.968,0.6017600173116456,0,0.03970632304465088,0.9373865698999999,66740,64090,0.11848148532854452,64090,2650
2009,actual,111021,508514.96945010184,0.982,0.955,0.5989857774655245,0,0.05052631578947368,0.9280373832,66500,63140,0.12416546963854055,63140,3360
2010,actual,111254,529739.979231568,0.963,0.948,0.5961133981699535,0,0.050361881785283474,0.9198895027999999,66320,62980,0.11888851600620692,62980,3340
2011,actual,111129,528630.8016877637,0.948,0.945,0.5935444393452655,0,0.04593693147362038,0.9205909511,65960,62930,0.11904338490886816,62930,3030
2012,actual,111046,537063.8682252922,0.941,0.945,0.5911964411144931,0,0.04341203351104341,0.9072543618000001,65650,62800,0.1169320889292372,62800,2850
2013,actual,111024,547980.0851970181,0.9390000000000001,0.9490000000000001,0.5938355670845943,0,0.04049749734566965,0.9145775302,65930,63260,0.1154421514739095,63260,2670
2014,actual,111004,553105.3403141361,0.955,0.975,0.5953839501279233,0,0.03601149947041912,0.92264678470000006,66090,63710,0.11518601495298511,63710,2380
2015,actual,111208,562940.2051282051,0.975,0.982,0.595730522983958,0,0.03366037735849057,0.9270346118,66250,64020,0.11372433415982423,64020,2230
2016,actual,111233,566738.6340468909,0.981,0.981,0.6003614035403163,0,0.031147050014974545,0.9379115710000001,66780,64700,0.11416197187405235,64700,2080
2017,actual,111278,576064.2201834864,0.981,0.986,0.6049713330577473,0,0.028223410576351752,0.9443920829,67320,65420,0.11356372728575749,65420,1900
2018,actual,111276,580768.8775510205,0.98,0.995,0.615496603041087,0,0.024383121623594687,0.9657794677,68490,66820,0.11505437461071573,66820,1670
2019,actual,111296,579369.807497467,0.987,1,0.621046578493387,0,0.0234375,0.9834791059,69120,67500,0.11650589852370777,67500,1620
2020,actual,111114,554074.4,1,1,0.6211638497399068,0,0.02781802376122863,1,69020,67100,0.12110286993948827,67100,1920
2021,actual,110735,574142.942942943,0.9990000000000001,0.998,0.6237413645188965,0,0.028087447517011727,0.9960278054,69070,67130,0.11692210245745584,67130,1940
2022,actual,110463,581412.1272365806,1.006,1.023,0.6248246019028996,0,0.025934511735728773,1.014880952,69020,67230,0.11563226298622363,67230,1790
2023,actual,110206,586139.8667935301,1.051,1.056,0.6283686913598171,0,0.025703971119133574,1.025768087,69250,67470,0.11510904448300657,67470,1780
2024,actual,109929,584540.0921658986,1.085,1.085,0.6328630297737631,0,0.025298260744573812,1.065141004,69570,67810,0.11600572981870814,67810,1760
2025,actual,109629,591584.0463458111,1.122,1.119,0.6388820476333816,0,0.025128498001142203,1.1051107980000001,70040,68280,0.11541893399891796,68280,1760
2026,simulation,109306,599703.8273740868,1.1444400000000001,1.140261,0.6425946728742569,0.046452785208657144,0.021198332622314447,1.1326138908139765,70238.60123791333,69073.59423108722,0.11517951208272026,68749.66000594595,1488.941231967394
2027,simulation,108944,602669.7216985533,1.15702884,1.1562246539999999,0.6500104835863252,0.04180750668779143,0.019296340361021257,1.15986011562949,70813.80842017838,69824.2224789172,0.11585818892995967,69447.36107064247,1366.447349535915
2028,simulation,108564,605662.123442395,1.165128042,1.168943125,0.6575763189676084,0.037162228166925715,0.018640455759752095,1.1867417704942338,71388.12848087747,70437.1988542654,0.1162978435136777,70057.42123015817,1330.707250719295
2029,simulation,108146,608669.3833185332,1.173283938,1.1818015,0.6644708887313108,0.03251694964606,0.018602960477515116,1.2142935162615547,71858.749458494,70883.56070687425,0.11645658981631242,70521.96398235398,1336.7854761400247
2030,simulation,107719,611691.5747269578,1.181496926,1.1948013160000002,0.6707833631832629,0.027871671125194286,0.019161037199346906,1.2419815894584998,72254.71887175729,71174.6715954122,0.11635712266787818,70870.2435156272,1384.4753561300943
2031,simulation,107255,614728.7724819868,1.189767404,1.207944131,0.6763167547729096,0.023226392604328572,0.02011049598970501,1.2693128748564755,72538.35353316843,71327.4095163605,0.1160306995691349,71079.57126533984,1458.782267828588
2032,simulation,106740,617781.0502521961,1.198095776,1.221231516,0.6811164390476626,0.018581114083462857,0.021089058522657102,1.2962220050143305,72703.19382073304,71362.64989974878,0.11551446887310071,71169.95191146352,1533.2419092695213
2033,simulation,106192,620848.4836919045,1.2064824459999999,1.234665063,0.6853850250211257,0.013935835562597145,0.022234071578355878,1.3225329036321665,72783.62036784441,71300.20764380308,0.11484316949574085,71165.34414285388,1618.2762249905336
2034,simulation,105591,623314.614284445,1.2149278239999999,1.2482463780000002,0.6890696621493674,0.009290557041731427,0.02333878766202703,1.3483156954016908,72759.55469601385,71144.1947127355,0.11413849937468236,71061.43489857994,1698.1197974339088
2035,simulation,104948,625790.5416064054,1.223432318,1.261977089,0.6922573076454707,0.0046452785208657135,0.024471757492599264,1.37341650422484,72651.01992277686,70913.01102166847,0.11331748613463324,70873.12178163667,1777.898141140193
2036,simulation,104297,628176.2844840258,1.231996345,1.275858836,0.6949270518689923,0,0.025680385555748576,1.3978025239468777,72477.35006688797,70621.99043641155,0.11242384053772318,70616.10377311133,1861.246293776643
2037,simulation,103601,630474.4493710005,1.240620319,1.2898932840000001,0.6977655373109622,0,0.027235278353880118,1.4208911582559494,72289.207430953,70285.02325295255,0.11147957434765698,70320.39074458962,1968.816686363384
2038,simulation,102871,632693.3382024739,1.249304661,1.30408211,0.6999027395609788,0,0.02830232943145133,1.4432059967946271,71999.69472137745,69919.4304080402,0.11051077383979765,69961.93564240911,2037.7590789683522
2039,simulation,102145,634830.4749215674,1.258049794,1.318427013,0.7018107197011039,0,0.029197402177310275,1.4647647990561794,71688.46506834167,69535.74559105738,0.10953435340300643,69595.34812226724,2093.1169460744304
2040,simulation,101418,636888.9804853627,1.266856142,1.33292971,0.703457052413701,0,0.02993651540265061,1.485796784503004,71345.92332660663,69142.98508414719,0.10856363856610371,69210.07499402334,2135.848332583289
